ID	Nome	Tipo	Material	Datação	Escola ou movimento	Autoria	TIpo de produção	Técnica de Composição	Materiais	Estético	Técnicas de construção/Funcionalidades
69	Olivetti Elea 9003 (linguagem visual)	Design de Produto	Plástico e Metal	1960	HfG Ulm / Good Design	Tomás Maldonado e Gui Bonsiepe	Produção industrial	Desenvolvido por Tomás Maldonado e Gui Bonsiepe para a fabricante italiana Olivetti, o projeto de protótipos para computadores e calculadoras eletrônicas marca a imersão da HfG Ulm no design de equipamentos de alta complexidade tecnológica e de processamento de dados. Rejeitando o invólucro como mera estilização ou arte aplicada, a equipe utilizou métodos analíticos, extremo rigor ergonômico e o pensamento cartesiano para organizar estruturalmente a interface entre o operador e a máquina. O agrupamento lógico das teclas, a codificação visual do painel e a adoção de uma carcaça de geometria exata foram concebidos cientificamente para reduzir a fadiga cognitiva e minimizar erros de operação. A obra exemplifica o auge da "Boa Forma", convertendo sistemas eletrônicos complexos em artefatos de alta utilidade e adequando as novas ferramentas do ambiente corporativo ao desenvolvimento técnico-industrial.	Plástico, Metal	Ortogonal, Geométrico, Minimalista	Design de interface, Modularidade estrutural, Sistematização de comandos, Engenharia de produto
70	Hôtel Tassel	Arquitetura	Arquitetura	1893	Art Nouveau	Victor Horta	Design Assinado	Projetado pelo arquiteto belga Victor Horta, o Hôtel Tassel é considerado uma das primeiras manifestações arquitetônicas do movimento Art Nouveau. Rejeitando o historicismo para forjar um futuro baseado no novo, Horta integrou a estrutura construtiva à ornamentação inspirada no mundo natural. O grande destaque do projeto é o uso inovador do metal aparente na estrutura interna. Horta trabalhou o ferro fundido criando colunas estruturais em forma de caules que se desdobram em linhas sinuosas e motivos curvilíneos de tipo chicote pelo teto, piso e guarda-corpos, criando a assinatura que se tornou conhecida como a "Linha Horta". O projeto da escadaria central, banhado em luz através de claraboias e rodeado por mosaicos de formas foliadas, rompe com a rigidez do passado e traduz os objetivos modernistas de fluidez e introdução de formas orgânicas no ambiente humano.	Pedra, Tijolo, Ferro fundido, Vidro, Madeira, Mosaico	Curvilíneo, Sinuoso, Orgânico, Botânico	Estrutura metálica aparente, Forjamento artesanal, Planta aberta, Claraboia
71	Entradas do Metrô de Paris	Arquitetura	Ferro fundido e Vidro	1904	Art Nouveau	Hector Guimard	Design Assinado	Projetadas pelo arquiteto francês Hector Guimard, as entradas do Metrô de Paris são um dos maiores símbolos do Art Nouveau na França, consolidando o que ficou mundialmente conhecido como o "Estilo Guimard". Rejeitando o historicismo e forjando um ambiente urbano baseado no novo, Guimard aplicou formas foliadas e motivos curvilíneos de tipo chicote diretamente no mobiliário da cidade. O projeto destaca-se por ser uma aplicação magistral dos ideais modernistas, aliando o uso do mundo natural como fonte de inspiração à eficiência da produção em série. O arquiteto desenhou peças modulares de ferro fundido pintadas de verde que simulam caules, brotos e folhagens entrelaçadas, sustentando letreiros sinuosos e luminárias florais. Esta padronização permitiu a replicação e adaptação das estruturas para diferentes estações, embelezando a inovadora infraestrutura de transporte e integrando a estética da natureza ao cotidiano industrial da virada do século.	Ferro fundido, Vidro, Esmalte	Curvilíneo, Sinuoso, Orgânico, Botânico	Produção seriada, Fundição, Modularidade estrutural, Montagem pré-fabricada
72	Glasgow School of Art	Arquitetura	Pedra, Vidro, Madeira e Ferro forjado	1909	Art Nouveau	Charles Rennie Mackintosh	Design Assinado	Projetada pelo arquiteto e designer escocês Charles Rennie Mackintosh, a Glasgow School of Art é considerada um dos melhores exemplos do Modernismo de vertente retilínea. Rejeitando o historicismo na tentativa de forjar um futuro baseado no novo, Mackintosh distanciou-se dos motivos curvilíneos e do formato de chicote predominantes na França e na Espanha. Em vez disso, o edifício se identifica predominantemente por suas formas retilíneas e por uma forte influência do Japonismo. A fachada e os interiores refletem o uso magistral do espaço em branco e a simplicidade das formas, otimizando a entrada de luz natural através de imensas janelas de estúdio. Contudo, como uma exceção à regra de um estilo puramente rígido, o arquiteto optou por combinar linhas curvas e retas, inserindo sutis motivos em ferro forjado que remetem a formas foliadas e naturais, criando uma tensão elegante entre a geometria estrutural e o detalhamento orgânico.	Pedra, Alvenaria, Vidro, Madeira, Ferro	Ortogonal, Geométrico, Espaço negativo, Minimalista, Orgânico, Contraste formal	Alvenaria portante, Estrutura envidraçada, Marcenaria, Forjamento artesanal, Modulação espacial
73	Casa Batlló	Arquitetura	Pedra, Vidro, Cerâmica, Ferro forjado e Madeira	1906	Art Nouveau	Antoni Gaudí	Design Assinado	Projetada pelo arquiteto Antoni Gaudí, a Casa Batlló é um dos expoentes máximos de como o Modernismo se enraizou em Espanha. Rejeitando completamente o historicismo na tentativa de forjar um futuro baseado no novo, Gaudí transformou um edifício residencial preexistente em uma obra-prima escultural inigualável. A estrutura e a fachada são integralmente dominadas por motivos curvilíneos e linhas sinuosas, eliminando as arestas rígidas tradicionais. Demonstrando o seu excecional talento, o arquiteto utilizou o mundo natural, além de referências anatômicas e mitológicas, como fonte de inspiração primária — evidenciado nas colunas de pedra que lembram ossos, nas sacadas de ferro forjado semelhantes a máscaras e no telhado ondulado coberto por escamas cerâmicas que evoca o dorso de um dragão. O interior flui com as mesmas formas foliadas e naturais, unindo teto, paredes, vitrais e marcenaria em um ambiente orgânico e imersivo.	Pedra, Vidro, Cerâmica, Ferro, Madeira	Sinuoso, Curvilíneo, Orgânico, Botânico, Anatômico	Remodelação estrutural, Trencadís (mosaico), Escultura em pedra, Forjamento artesanal, Marcenaria
74	Casa Milà / La Pedrera	Arquitetura	Pedra, Ferro forjado, Tijolo, Cerâmica e Gesso	1912	Art Nouveau	Antoni Gaudí	Design Assinado	Projetada por Antoni Gaudí, a Casa Milà, popularmente conhecida como La Pedrera, é um dos maiores símbolos de como o Modernismo se enraizou em Espanha. Rejeitando o historicismo em busca de forjar um futuro baseado no novo, o arquiteto criou um edifício onde predominam de forma absoluta os motivos curvilíneos e as linhas sinuosas, eliminando praticamente qualquer linha reta. O uso do mundo natural como fonte de inspiração é evidente em toda a sua concepção: a imponente fachada de pedra ondulada evoca uma montanha desgastada pela erosão ou o movimento ininterrupto das ondas do mar, enquanto os elaborados guarda-corpos das varandas em ferro forjado assemelham-se a folhagens entrelaçadas e algas, reproduzindo as características formas foliadas e naturais do estilo. Demonstrando o excecional talento de Gaudí, a obra não é apenas uma escultura habitável, mas também uma inovação estrutural, utilizando pilares de pedra e arcos catenários de tijolo que dispensam paredes de sustentação tradicionais, resultando em uma planta orgânica e de geometria livre.	Pedra, Ferro, Tijolo, Cerâmica, Gesso	Sinuoso, Curvilíneo, Orgânico, Botânico, Texturizado, Bruto	Fachada autoportante, Estrutura metálica, Arco catenário, Forjamento artesanal, Planta livre
75	Edifício da Secessão de Viena	Arquitetura	Tijolo, Pedra, Gesso, Ferro, Ouro e Vidro	1898	Art Nouveau	Joseph Maria Olbrich	Design Assinado	Projetado pelo arquiteto Joseph Maria Olbrich, o Edifício da Secessão de Viena é um manifesto arquitetônico do Art Nouveau (fortemente alinhado à vertente que os alemães optaram pelo nome Jugendstil). Rejeitando o historicismo, os artistas e arquitetos deste grupo tentavam forjar um futuro baseado no novo, criando um espaço de exposição próprio para a vanguarda. A obra demonstra como na região os projetos se identificam predominantemente pelas suas formas retilíneas. O edifício é marcado pela simplicidade das formas e por uma forte influência do Japonismo, visível no uso do espaço em branco através de suas imensas fachadas lisas e sem janelas. Como acontece com todos os estilos de design, existem exceções à regra, e Olbrich optou por combinar as linhas curvas e retas no seio do seu trabalho: a rigidez dos blocos geométricos contrasta com uma imponente cúpula esférica vazada, construída com características formas foliadas e naturais que imitam folhas e bagos de louro, celebrando o uso do mundo natural como fonte de inspiração em meio ao rigor racional da estrutura.	Tijolo, Pedra, Gesso, Ferro, Ouro, Vidro	Ortogonal, Geométrico, Espaço negativo, Minimalista, Orgânico, Botânico, Contraste formal, Liso	Alvenaria portante, Estuque, Forjamento, Soldagem, Douramento, Claraboia
76	Cartaz "Moulin Rouge: La Goulue"	Design Gráfico e Ilustração	Papel e Tinta	1891	Art Nouveau	Henri de Toulouse-Lautrec	Produção industrial	Criado pelo pintor e ilustrador Henri de Toulouse-Lautrec, o cartaz "Moulin Rouge: La Goulue" é um marco revolucionário da publicidade e do movimento Art Nouveau. Rejeitando o historicismo e o rigor da arte acadêmica tradicional, os artistas da virada do século tentavam forjar um futuro baseado no novo, integrando a expressão artística ao ambiente comercial das ruas. A obra demonstra com exatidão como o japonismo, com o seu uso do espaço em branco e a simplicidade das formas, desempenhou um papel fundamental na evolução do Modernismo. Isso é evidente no design gráfico e pode ser observado claramente nos cartazes de artistas como Toulouse-Lautrec, que inovou ao utilizar contornos grossos, cores chapadas e silhuetas escuras (como a figura de Valentin le Désossé em primeiro plano) para gerar contraste e impacto imediato no espectador. Aliando essa estética arrojada à produção em série, o cartaz não apenas divulgava o famoso cabaré parisiense, mas transformava os muros de Paris em uma verdadeira galeria de arte a céu aberto.	Papel, Tinta	Espaço negativo, Minimalista, Cor sólida, Bidimensional, Silhueta contrastante, Dinâmico	Cromolitografia, Litogravura, Produção seriada
77	Cartaz "Gismonda"	Design Gráfico e Ilustração	Papel e Tinta	1894	Art Nouveau	Alphonse Mucha	Produção industrial	Criado pelo artista Alphonse Mucha para promover a peça teatral estrelada pela atriz Sarah Bernhardt, o cartaz "Gismonda" é uma das obras mais emblemáticas do Art Nouveau. Rejeitando o historicismo na tentativa de forjar um futuro baseado no novo, Mucha revolucionou a comunicação visual de sua época. Como pode ser observado claramente nos cartazes de artistas como Mucha, a evolução do Modernismo no design gráfico foi fortemente marcada pelo uso do mundo natural como fonte de inspiração. A obra cristalizou o que ficou mundialmente conhecido como o "Estilo Mucha", destacando-se por uma figura feminina idealizada e envolta por características formas foliadas e naturais, além de cabelos e vestes que formam linhas sinuosas e motivos curvilíneos de tipo chicote. Apoiando-se na inovação tecnológica da época, o cartaz atende plenamente aos objetivos comuns do estilo: a introdução de formas novas aliadas à produção em série, transformando a publicidade comercial em uma verdadeira obra de arte acessível às massas nas ruas de Paris.	Papel, Tinta	Sinuoso, Curvilíneo, Orgânico, Botânico, Vertical, Tons pastéis, Ornamental	Cromolitografia, Litogravura, Produção seriada, Impressão em múltiplas folhas
78	Mobiliário em Marchetaria Botânica	Mobiliário	Madeira	1900	Art Nouveau	Émile Gallé	Produção artesanal	Criado por Émile Gallé, fundador da Escola de Nancy, este mobiliário é um reflexo direto do desejo do movimento de rejeitar o historicismo e forjar um futuro baseado no novo. A escola francesa destacou-se pelo uso magistral do mundo natural como fonte de inspiração. A obra apresenta superfícies curvadas e uma intrincada decoração de folhagem entrelaçada, formando linhas sinuosas e motivos orgânicos ao longo de sua estrutura. Através da meticulosa técnica de marchetaria, Gallé integrou os seus vastos conhecimentos de botânica ao design, criando peças onde a ornamentação natural e a funcionalidade se fundem perfeitamente.	Madeira	Sinuoso, Curvilíneo, Orgânico, Botânico, Superfície curva, Entrelaçado	Marchetaria, Marcenaria artesanal, Curvatura de madeira
79	Luminária "Wisteria" 	Design de Iluminação	Vidro e Bronze	1901	Art Nouveau	Clara Driscoll e Louis Comfort Tiffany	Produção artesanal	Projetada por Clara Driscoll, a luminária "Wisteria" é um ícone do Art Nouveau norte-americano. Rejeitando as formas rígidas do passado para forjar um futuro baseado no novo, a peça destaca-se pelo uso espetacular do mundo natural como fonte de inspiração. A cúpula de vitral forma um mosaico translúcido e de borda irregular com folhagem entrelaçada e cascatas de flores que reproduzem a estética de uma glicínia real. O tronco e as raízes da planta são representados pela base de bronze, moldada com linhas sinuosas. A obra ilustra a perfeita harmonia entre a utilidade da nascente iluminação elétrica e a busca incessante pelas formas orgânicas características do movimento.	Vidro, Bronze, Chumbo	Sinuoso, Curvilíneo, Orgânico, Botânico, Floral, Irregular	Vitral Tiffany, Fundição, Montagem artesanal
80	Cadeira "Argyle"	Design de Mobiliário	Madeira e Tecido	1897	Art Nouveau	Charles Rennie Mackintosh	Produção industrial	Projetada pelo arquiteto e designer escocês Charles Rennie Mackintosh para os salões de chá da Argyle Street, esta cadeira é um marco do Modernismo escocês. Rejeitando o historicismo na tentativa de forjar um futuro baseado no novo, Mackintosh distanciou-se da ornamentação floral para abraçar a contenção. A obra demonstra como na região os projetos se identificam predominantemente pelas suas formas retilíneas. O design possui um espaldar exageradamente alto, evidenciando a simplicidade das formas e a estruturação do ambiente para criar uma sensação arquitetônica ao redor da mesa. Como acontece em muitos de seus trabalhos, ele optou por combinar as linhas curvas e retas, inserindo um sutil detalhe oval vazado no topo do encosto que remete a formas naturais estilizadas, criando uma tensão elegante e equilibrada entre a geometria da estrutura e o pequeno acento orgânico.	Madeira, Crina, Tecido	Ortogonal, Geométrico, Minimalista, Vertical, Orgânico, Contraste formal, Espaço negativo, Vazado	Marcenaria estrutural, Encaixe, Estofamento
81	Ornamento de Corsage "Mulher-Libélula"	Design de Joalheria	Ouro, Esmalte e Gemas	1898	Art Nouveau	René Lalique	Produção artesanal	Criado pelo mestre joalheiro francês René Lalique, o ornamento de corsage "Mulher-Libélula" é considerado uma das obras-primas da joalheria na virada do século. Rejeitando o historicismo e a tradição de valorizar uma joia estritamente pelo custo e tamanho de seus diamantes, Lalique buscou forjar um futuro baseado no novo através da originalidade e excelência artística. A obra destaca-se pelo uso revolucionário do mundo natural como fonte de inspiração, fundindo a forma humana com a biologia dos insetos. A peça apresenta um busto feminino do qual emergem a base de um inseto e grandes asas translúcidas, formando complexas linhas sinuosas e motivos curvilíneos. A joia capta plenamente a essência orgânica do movimento ao materializar formas naturais e o hibridismo fantástico em um adorno deslumbrante de extrema delicadeza visual.	Ouro, Esmalte, Pedra preciosa	Sinuoso, Curvilíneo, Orgânico, Zoomórfico, Anatômico, Policromático, Translúcido	Ourivesaria, Esmaltação plique-à-jour, Cravação, Articulação mecânica
82	O Beijo / Der Kuss	Pintura e Artes Plásticas	Tela, Tinta a óleo, Folha de ouro e Folha de prata	1908	Art Nouveau	Gustav Klimt	Produção artesanal	Criada pelo pintor austríaco Gustav Klimt, a pintura "O Beijo" é a obra-prima de sua "Fase Dourada" e um ícone incontestável da Secessão de Viena. Rejeitando o historicismo acadêmico na tentativa de forjar um futuro baseado no novo, Klimt desenvolveu uma linguagem visual deslumbrante e altamente simbólica. A obra ilustra como o artista optou por combinar as linhas curvas e retas no seio do seu trabalho: a figura masculina é envolvida por uma túnica marcada predominantemente por formas retilíneas e blocos geométricos, enquanto a figura feminina é adornada por linhas sinuosas, formas circulares e motivos florais, celebrando o uso do mundo natural como fonte de inspiração. A aplicação massiva de folhas de ouro achata a perspectiva e imortaliza os amantes, destacando a simplicidade das formas e gerando um forte contraste geométrico-orgânico em uma composição de imenso impacto estético.	Tela, Tinta, Ouro, Prata	Ortogonal, Geométrico, Sinuoso, Orgânico, Contraste formal, Floral, Circular, Minimalista, Bidimensional, Dourado, Reflexivo	Pintura, Douramento, Textura em relevo
83	Retrato de Adele Bloch-Bauer I	Pintura e Artes Plásticas	Tela, Tinta a óleo, Folha de ouro e Folha de prata	1907	Art Nouveau	Gustav Klimt	Produção artesanal	Pintado por Gustav Klimt, o "Retrato de Adele Bloch-Bauer I" é um dos mais célebres exemplos da sua aclamada "Fase Dourada". Rejeitando o historicismo e as convenções rigorosas do retrato tradicional em busca de forjar um futuro baseado no novo, Klimt transformou a modelo da alta sociedade vienense em um ícone moderno que transcende a realidade tridimensional. A obra demonstra a influência do Japonismo e da arte bizantina através da sua perspectiva achatada, fundindo o rosto e as mãos incrivelmente realistas da figura com um ambiente abstrato e opulento. Como característica marcante de seu estilo, o artista optou por combinar as linhas curvas e retas, preenchendo o vestido da retratada com intrincadas formas retilíneas, como quadrados e retângulos encadeados, mescladas a linhas sinuosas, espirais e formas que evocam o mundo natural. A densidade quase labiríntica dos ornamentos cria um complexo contraste geométrico-orgânico, dissolvendo a anatomia da figura no espaço luminoso ao seu redor.	Tela, Tinta, Ouro, Prata	Ortogonal, Geométrico, Sinuoso, Orgânico, Contraste formal, Espiral, Oval, Bidimensional, Dourado	Pintura, Douramento, Baixo-relevo
84	Mesa "Nénuphars" (Nenúfares)	Design de Mobiliário	Madeira e Bronze	1900	Art Nouveau	Louis Majorelle	Design Assinado	Projetada pelo mestre marceneiro e designer francês Louis Majorelle, a mesa "Nénuphars" é um exemplo supremo da vertente floral do Art Nouveau. Rejeitando o historicismo na tentativa de forjar um futuro baseado no novo, Majorelle abraçou integralmente o uso do mundo natural como fonte de inspiração. A estrutura da mesa foi concebida de forma a imitar o crescimento orgânico das plantas, com pernas duplas esculpidas que sobem como caules robustos, culminando em aplicações metálicas detalhadas que representam folhas e flores de nenúfar (lírio-d'água). Evitando ângulos rígidos, o design é dominado por linhas sinuosas e motivos curvilíneos em forma de chicote, onde a madeira esculpida e os ornamentos de bronze se fundem harmoniosamente, trazendo a fluidez e a vitalidade da natureza diretamente para o ambiente doméstico.	Madeira, Bronze	Sinuoso, Curvilíneo, Orgânico, Botânico, Tridimensional	Marcenaria, Entalhe, Fundição, Polimento
85	Cadeira "Calvet"	Design de Mobiliário	Madeira	1902	Art Nouveau	Antoni Gaudí	Design Assinado	Projetada pelo arquiteto Antoni Gaudí para os escritórios do andar térreo da Casa Calvet, esta cadeira é uma peça pioneira no design de mobiliário. Rejeitando o historicismo e as convenções rigorosas de estofamento da época para forjar um futuro baseado no novo, Gaudí aboliu virtualmente todas as linhas retas em favor da adaptação ao corpo humano. A obra ilustra brilhantemente o uso do mundo natural como fonte de inspiração, com encosto, assento e pernas esculpidos em um bloco contínuo que lembra formas ósseas e articulações anatômicas. Dominada por linhas sinuosas e motivos curvilíneos fluidos, a cadeira não apresenta ornamentação aplicada a própria forma escultural da madeira é o ornamento, criando uma peça de profunda fluidez tátil e visual que reflete a mesma genialidade orgânica de suas estruturas arquitetônicas.	Madeira	Sinuoso, Curvilíneo, Anatômico, Orgânico, Ergonômico	Marcenaria, Entalhe, Curvatura de madeira, Encaixe
86	Fotoatelier Elvira	Arquitetura e Interiores	Alvenaria, Estuque, Ferro e Vidro	1897	Jugendstil / Art Nouveau	August Endell	Design Assinado	Projetado pelo arquiteto August Endell, o edifício do Fotoatelier Elvira (Estúdio Fotográfico Elvira), em Munique, é uma das obras arquitetônicas mais emblemáticas do Jugendstil. Rejeitando o historicismo na tentativa de forjar um futuro baseado no novo, os designers da versão alemã do movimento propunham o uso de formas naturais como forma de renovar o design e, com ele, a sociedade. A obra ilustra essa surpreendente modernidade através de sua famosa fachada assimétrica, dominada por um enorme ornamento em alto-relevo semelhante a um dragão ou a uma onda marinha estilizada, repleto de linhas sinuosas e motivos dinâmicos. Essa estética arrojada e abstrata rompeu drasticamente com as tradições arquitetônicas, abraçando a simplicidade nas formas e introduzindo uma ornamentação radical baseada na fluidez e na biologia.	Alvenaria, Estuque, Ferro, Vidro	Sinuoso, Minimalista, Abstrato, Dinâmico, Assimétrico, Orgânico	Alvenaria portante, Modelagem de estuque, Forjamento
87	Tapeçaria "Peitschenhieb" (O Chicote)	Artes Decorativas e Têxteis	Lã, Seda e Algodão	1895	Jugendstil / Art Nouveau	Hermann Obrist	Design Assinado	Criada por Hermann Obrist, a tapeçaria "Peitschenhieb" (O Chicote), cujo tema central é um ciclame estilizado, é considerada a obra fundadora da vertente Jugendstil em Munique. Rejeitando as tendências revivalistas na tentativa de forjar um futuro baseado no novo, os artistas da época estavam prontos para absorver uma alternativa ao historicismo, utilizando as formas naturais como forma de renovar o design. A obra exemplifica com perfeição a fase anterior a 1900 com sua ênfase na arte floral e em formas naturalistas e dinâmicas, retratando caules que se contorcem com violência e energia. A curva acentuada, que lembra o estalo de um chicote (origem de seu apelido), consagrou as linhas sinuosas e os motivos curvilíneos como a marca registrada da vanguarda. Produzida no seio das novas oficinas de artesanato, a tapeçaria equilibra tradição técnica e uma surpreendente modernidade, elevando o bordado ao mais alto patamar da arte moderna europeia.	Lã, Seda, Tecido	Sinuoso, Floral, Orgânico, Curvilíneo, Dinâmico, Minimalista	Bordado, Tecelagem, Costura
88	Ilustração "Schwan" (Cisne)	Design Gráfico e Ilustração	Papel e Tinta	1897	Jugendstil / Art Nouveau	Otto Eckmann	Produção artesanal	Criada pelo artista alemão Otto Eckmann, a ilustração "Schwan" (Cisne) é um dos trabalhos visuais mais icônicos do Jugendstil. Rejeitando as tendências revivalistas que haviam caracterizado o design na segunda metade do século XIX, os designers da vertente alemã propunham o uso de formas naturais como forma de renovar o design e, com ele, a sociedade. A obra exemplifica perfeitamente a fase anterior a 1900, com ênfase na arte floral e nas formas figurativas e naturalistas. A imagem do cisne deslizando sobre águas estilizadas destaca a forte influência do Japonismo, apresentando uma simplicidade nas formas e uma surpreendente modernidade através de contornos fluidos bidimensionais e áreas de cor chapada. Amplamente divulgada em importantes revistas de arte da época, como a Jugend e a Pan, a ilustração ajudou a popularizar a estética Jugendstil, combinando linhas sinuosas com a abstração poética da fauna e da flora.	Papel, Tinta	Floral, Orgânico, Sinuoso, Minimalista, Cor sólida, Bidimensional, Contorno fluido, Zoomórfico	Desenho, Xilogravura, Impressão fotomecânica
89	Haus Behrens (Casa Behrens)	Arquitetura e Interiores	Tijolo, Estuque, Madeira, Vidro e Cerâmica	1901	Jugendstil / Colônia de Artistas de Darmstadt	Peter Behrens	Produção industrial	Projetada pelo arquiteto e designer Peter Behrens para a exposição da Colônia de Artistas de Darmstadt, a Haus Behrens é um marco na transição estética da virada do século. Rejeitando de forma definitiva as tendências revivalistas, Behrens desenhou a casa como uma obra de arte total, concebendo não apenas o edifício, mas também os seus interiores, mobiliários e até utensílios domésticos. Apoiados pela cooperativa de Darmstadt, os designers Jugendstil propunham o uso de formas naturais como forma de renovar o design, a sociedade e o modo de vida em sua totalidade. Fortemente inspirada no estilo autóctone da região, a residência apresenta alvenaria marcada e telhados acentuados, introduzindo uma simplicidade nas formas e uma surpreendente modernidade. O projeto consolida a transição do movimento: enquanto os interiores preservam traços orgânicos, a estrutura arquitetônica já aponta para as formas mais abstratas, dinâmicas e geométricas que definiriam a trajetória de Behrens rumo ao design industrial no século XX.	Tijolo, Estuque, Madeira, Vidro, Cerâmica	Minimalista, Abstrato, Dinâmico, Geométrico, Vertical, Contraste material	Alvenaria portante, Estuque, Marcenaria, Design integrado
90	Ernst-Ludwig-Haus	Arquitetura e Interiores	Alvenaria, Estuque, Pedra, Vidro e Ferro	1901	Jugendstil	Joseph Maria Olbrich	Design Assinado	Projetado pelo arquiteto Joseph Maria Olbrich, o edifício Ernst-Ludwig-Haus serviu como ateliê central e espaço de trabalho colaborativo da cooperativa de Darmstadt, que contou com o apoio do grão-duque Ernst Ludwig de Hessen. Rejeitando fortemente as tendências revivalistas, os designers Jugendstil propunham o uso de formas naturais como forma de renovar o design e, com ele, a sociedade. A obra monumental exibe uma simplicidade nas formas e uma surpreendente modernidade através de sua imponente fachada horizontal de estuque liso e claro. Quebrando a rígida estrutura linear, o icônico portal central adota o formato de um grande arco ômega decorado com elaborados arranjos geométricos e motivos botânicos estilizados, marcando o início de uma transição para formas mais abstratas e dinâmicas que dominariam o movimento germânico nos anos seguintes.	Tijolo, Estuque, Pedra, Ferro, Vidro, Ouro	Minimalista, Abstrato, Dinâmico, Horizontal, Arco, Monumental, Botânico, Geométrico, Simétrico	Alvenaria portante, Estuque, Escultura, Modelagem, Iluminação zenital
91	Cartaz "Kuss" (O Beijo)	Design Gráfico e Ilustração	Papel e Tinta	1898	Jugendstil	Peter Behrens	Produção industrial	Criada pelo proeminente artista e arquiteto Peter Behrens, a célebre xilogravura colorida "O Beijo" é um dos trabalhos visuais mais icônicos do movimento. Rejeitando as tendências revivalistas que haviam caracterizado o design do passado, os designers Jugendstil propunham o uso de formas naturais como forma de renovar o design e, com ele, a sociedade. Publicada e popularizada por revistas de arte como a Pan, a obra ilustra brilhantemente a estética anterior a 1900, com forte inclinação para a arte floral e contornos orgânicos. Os perfis fundidos de duas figuras andróginas são emoldurados por um padrão altamente decorativo e labiríntico de cabelos entrelaçados. A composição demonstra uma notável simplicidade nas formas e uma surpreendente modernidade, sintetizando a anatomia humana e as linhas sinuosas do mundo orgânico em áreas planas de cor e formas mais abstratas e dinâmicas, criando um forte apelo emocional e visual.	Papel, Tinta	Minimalista, Sinuoso, Floral, Abstrato, Dinâmico, Cor sólida, Bidimensional, Contorno fluido	Xilogravura, Impressão fotomecânica, Impressão plana
92	Münchner Kammerspiele	Arquitetura e Interiores	Alvenaria, Estuque, Madeira, Vidro e Ferro	1901	Jugendstil	Richard Riemerschmid	Design Assinado	Projetado pelo arquiteto Richard Riemerschmid, o edifício e os interiores do teatro Münchner Kammerspiele (originalmente Schauspielhaus) em Munique representam o ápice da arquitetura cênica do Jugendstil. Rejeitando as tendências revivalistas que haviam caracterizado o design teatral tradicional, os designers Jugendstil propunham o uso de formas naturais como forma de renovar o design e, com ele, a sociedade. A obra reflete a fase do movimento a partir de 1900, na qual os projetos adotaram formas mais abstratas e dinâmicas. Riemerschmid criou um espaço intimista e altamente funcional, caracterizado pela continuidade entre o palco e a plateia. Incorporando interpretações contemporâneas do estilo autóctone da região da Baviera, o interior destaca-se pelo seu icônico teto em abóbada de madeira estrutural e elementos de ferro aparente, evidenciando uma simplicidade nas formas e uma surpreendente modernidade que se desviava da ornamentação exuberante para focar na racionalidade do espaço e na excelência acústica.	Alvenaria, Estuque, Madeira, Ferro, Vidro	Minimalista, Abstrato, Dinâmico, Orgânico, Fluido, Abóbada curva, Contínuo	Alvenaria portante, Carpintaria, Acústica, Forjamento
93	Villa Esche	Arquitetura e Interiores	Tijolo, Estuque, Madeira, Vidro e Pedra	1903	Jugendstil	Henry van de Velde	Design Assinado	Projetada pelo influente arquiteto belga Henry van de Velde para o industrial têxtil Herbert Esche em Chemnitz, a Villa Esche é um paradigma incontestável da arquitetura residencial do Jugendstil europeu. A partir de 1900, os projetos do movimento passaram por uma evolução direta, onde os designs adotaram formas mais abstratas e dinâmicas, baseadas fortemente na filosofia estética e linear do próprio Van de Velde. Rejeitando as tendências revivalistas que marcaram o século anterior, os designers Jugendstil propunham o uso de formas naturais como forma de renovar o design e, com ele, a sociedade. Concebida como uma obra de arte total (Gesamtkunstwerk), cada detalhe do edifício, desde os armários embutidos e o mobiliário até as maçanetas, foi desenhado para criar uma harmonia orgânica. As fachadas externas apresentam telhados fluidos em forma de mansarda e varandas contínuas, exibindo uma simplicidade nas formas e uma surpreendente modernidade que anteciparam os preceitos funcionalistas do design moderno.	Tijolo, Estuque, Madeira, Vidro, Pedra	Minimalista, Abstrato, Dinâmico, Linear, Telhado curvo, Fluido, Contínuo	Alvenaria portante, Estuque, Marcenaria, Modelagem orgânica, Estruturação de mansardas
94	Tipografia Eckmann-Schrift	Design Gráfico e Tipografia	Chumbo (tipos móveis), Papel e Tinta	1900	Jugendstil	Otto Eckmann	Produção industrial	Desenvolvida pelo artista gráfico Otto Eckmann para a fundição Rudhard'sche Giesserei, a Eckmann-Schrift é a fonte tipográfica mais icônica do Jugendstil alemão. Rejeitando as tendências revivalistas que haviam caracterizado o design durante a segunda metade do século XIX, os designers Jugendstil propunham o uso de formas naturais como forma de renovar o design e, com ele, a sociedade. Refletindo a transição estética do movimento na virada do século, o traçado da fonte afasta-se das rígidas letras góticas tradicionais para introduzir uma simplicidade nas formas e uma surpreendente modernidade. O design combina influências da caligrafia pincelada japonesa com o alfabeto latino, adotando formas mais abstratas e dinâmicas através de traços fluidos e linhas sinuosas que evocam sutilmente o crescimento das plantas. Adotada por diversas revistas de arte da época, a fonte moldou ativamente a identidade visual do modernismo germânico.	Chumbo, Papel, Tinta	Minimalista, Abstrato, Dinâmico, Sinuoso, Fluido, Caligráfico, Orgânico	Design tipográfico, Fundição, Impressão
